date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:07	18143/18143	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:02%20GMT	http://naus.sa.utoronto.ca/httpnausuoft-wordpress-com/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/httpnausuoft-wordpress-com/index.html	(from http://naus.sa.utoronto.ca/)
12:44:08	18642/18642	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:03%20GMT	http://naus.sa.utoronto.ca/2013/04/05/official-new-naus-council-2013-2014/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/2013/04/05/official-new-naus-council-2013-2014/index.html	(from http://naus.sa.utoronto.ca/)
12:44:09	33260/33260	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:03%20GMT	http://naus.sa.utoronto.ca/category/events/uncategorized/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/category/events/uncategorized/index.html	(from http://naus.sa.utoronto.ca/)
12:44:14	20509/20509	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:09%20GMT	http://naus.sa.utoronto.ca/2013/03/31/1129/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/2013/03/31/1129/index.html	(from http://naus.sa.utoronto.ca/)
12:44:14	33150/33150	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:08%20GMT	http://naus.sa.utoronto.ca/author/naus/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/author/naus/index.html	(from http://naus.sa.utoronto.ca/)
12:44:14	110/110	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jun%202013%2000:48:44%20GMT	https://fbstatic-a.akamaihd.net/rsrc.php/v2/yT/r/K6_TY47YS3x.png	C:/My%20Web%20Sites/NAUS%20old%20website/fbstatic-a.akamaihd.net/rsrc.php/v2/yT/r/K6_TY47YS3x.png	(from http://naus.sa.utoronto.ca/)
12:44:17	22106/22106	---M--	200	added ('OK')	image/jpeg	etag:%223f2902a6c2362a4d65a9d888a03c604e%22	http://naus.sa.utoronto.ca/files/2013/03/election-new-300x159.jpg	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2013/03/election-new-300x159.jpg	(from http://naus.sa.utoronto.ca/)
12:44:20	19919/19919	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:16%20GMT	http://naus.sa.utoronto.ca/2013/03/31/1121/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/2013/03/31/1121/index.html	(from http://naus.sa.utoronto.ca/)
12:44:21	26034/26034	---M--	200	added ('OK')	image/jpeg	etag:%22786189d0b5df03728c9e859f0c200322%22	http://naus.sa.utoronto.ca/files/2013/03/tedmeday2-194x300.jpg	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2013/03/tedmeday2-194x300.jpg	(from http://naus.sa.utoronto.ca/)
12:44:25	18309/18309	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:22%20GMT	http://naus.sa.utoronto.ca/2012/07/27/looking-for-volunteers/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/2012/07/27/looking-for-volunteers/index.html	(from http://naus.sa.utoronto.ca/)
12:44:27	87430/87430	---M--	200	added ('OK')	image/jpeg	etag:%22786189d0b5df03728c9e859f0c200322%22	http://naus.sa.utoronto.ca/files/2013/03/tedmeday2.jpg	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2013/03/tedmeday2.jpg	(from http://naus.sa.utoronto.ca/)
12:44:30	71175/71175	---M--	200	added ('OK')	image/jpeg	etag:%2239717f99ce451d592d61c95f3b03856a%22	http://naus.sa.utoronto.ca/files/2012/03/naus-elections.jpg	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2012/03/naus-elections.jpg	(from http://naus.sa.utoronto.ca/)
12:44:30	174/174	---M--	200	added ('OK')	image/gif	etag:%227bcfd-ae-4faee48c8117b%22	http://naus.sa.utoronto.ca/wp-includes/images/smilies/icon_smile.gif	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/wp-includes/images/smilies/icon_smile.gif	(from http://naus.sa.utoronto.ca/)
12:44:30	40487/40487	---M--	200	added ('OK')	image/jpeg	etag:%2239717f99ce451d592d61c95f3b03856a%22	http://naus.sa.utoronto.ca/files/2012/03/naus-elections-300x298.jpg	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2012/03/naus-elections-300x298.jpg	(from http://naus.sa.utoronto.ca/)
12:44:32	18728/18728	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:28%20GMT	http://naus.sa.utoronto.ca/2012/04/13/naus-2012-2013-execs/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/2012/04/13/naus-2012-2013-execs/index.html	(from http://naus.sa.utoronto.ca/)
12:44:36	18995/18995	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:31%20GMT	http://naus.sa.utoronto.ca/2012/04/04/naus-2012-2013-polls-closed/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/2012/04/04/naus-2012-2013-polls-closed/index.html	(from http://naus.sa.utoronto.ca/)
12:44:37	29715/29715	---M--	200	added ('OK')	image/jpeg	etag:%22d32044f082fbb9a1fe99c30284ee29e1%22	http://naus.sa.utoronto.ca/files/2012/03/Student-Ad-2012-JPG-300x208.jpg	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2012/03/Student-Ad-2012-JPG-300x208.jpg	(from http://naus.sa.utoronto.ca/)
12:44:37	652/652	---M--	200	added ('OK')	image/gif	etag:%22b4dfd-28c-4fb085be4be1e%22	http://naus.sa.utoronto.ca/wp-content/themes/magicblue/images/feed-icon-16x16.gif	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/wp-content/themes/magicblue/images/feed-icon-16x16.gif	(from http://naus.sa.utoronto.ca/)
12:44:42	18514/18514	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:37%20GMT	http://naus.sa.utoronto.ca/2012/04/03/sona-university-of-toronto-april-30th-2012/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/2012/04/03/sona-university-of-toronto-april-30th-2012/index.html	(from http://naus.sa.utoronto.ca/)
12:44:42	20286/20286	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:38%20GMT	http://naus.sa.utoronto.ca/2012/03/17/naus-elections/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/2012/03/17/naus-elections/index.html	(from http://naus.sa.utoronto.ca/)
12:44:43	12018/12018	---M-Z	200	added ('OK')	application/javascript	etag:%227bc75-2ef2-4faee48c7e29d%22	http://naus.sa.utoronto.ca/wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/wp-includes/js/thickbox/thickboxab87.js	(from http://naus.sa.utoronto.ca/)
12:44:43	271794/271794	---M--	200	added ('OK')	image/jpeg	etag:%223f2902a6c2362a4d65a9d888a03c604e%22	http://naus.sa.utoronto.ca/files/2013/03/election-new.jpg	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2013/03/election-new.jpg	(from http://naus.sa.utoronto.ca/)
12:44:43	119498/119498	---M--	200	added ('OK')	image/jpeg	etag:%22d32044f082fbb9a1fe99c30284ee29e1%22	http://naus.sa.utoronto.ca/files/2012/03/Student-Ad-2012-JPG.jpg	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2012/03/Student-Ad-2012-JPG.jpg	(from http://naus.sa.utoronto.ca/)
12:44:47	893/893	---M-Z	404	error ('Not%20Found')	text/xml	etag:%229e9685a7599e4db7cd40aff3de6405ad%22	http://naus.sa.utoronto.ca/comments/feed/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/comments/feed/index.html	(from http://naus.sa.utoronto.ca/)
12:44:48	18566/18566	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:43%20GMT	http://naus.sa.utoronto.ca/2012/03/10/calendar-updated/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/2012/03/10/calendar-updated/index.html	(from http://naus.sa.utoronto.ca/)
12:44:48	1548/1548	---M-Z	200	added ('OK')	text/css	etag:%228a77f-60c-4fb085870a5ff%22	http://naus.sa.utoronto.ca/wp-content/plugins/events-calendar/css/ec-tooltips.css	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/wp-content/plugins/events-calendar/css/ec-tooltips.css	(from http://naus.sa.utoronto.ca/wp-content/plugins/events-calendar/css/events-calendar.css)
12:44:49	18741/18741	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:44%20GMT	http://naus.sa.utoronto.ca/2012/03/09/grad-school-opportunity/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/2012/03/09/grad-school-opportunity/index.html	(from http://naus.sa.utoronto.ca/)
12:44:49	865/865	---M--	200	added ('OK')	image/gif	etag:%228a796-361-4fb08587103c0%22	http://naus.sa.utoronto.ca/wp-content/plugins/events-calendar/images/list.gif	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/wp-content/plugins/events-calendar/images/list.gif	(from http://naus.sa.utoronto.ca/wp-content/plugins/events-calendar/css/events-calendar.css)
12:44:49	37900/37900	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2017:44:44%20GMT	http://naus.sa.utoronto.ca/page/2/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/page/2/index.html	(from http://naus.sa.utoronto.ca/)
